guid,artist,artist image,artist year,artist nationality,artist portrait source,artwork,artwork image,artwork year,artwork image source,movement,notes,tags
ozxJ:M`e#/,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,Diana and her Companions,"<img src=""diana-and-her-companions.jpg!Large.jpg"">",c.1653 - c.1654,"<a href=""https://www.wikiart.org/en/johannes-vermeer/diana-and-her-companions"">https://www.wikiart.org/en/johannes-vermeer/diana-and-her-companions</a>",Baroque,,Art::Baroque::Vermeer
kir`yP^f.G,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,Saint Praxedis,"<img src=""screenshot-2021-11-13-172329.png"">",c.1655,https://www.wikiart.org/en/johannes-vermeer/saint-praxedis,Baroque,,Art::Baroque::Vermeer
ylu4tw(L(H,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,Christ in the House of Martha and Mary,"<img src=""christ-in-the-house-of-martha-and-mary.jpg!Large.jpg"">",1654,https://www.wikiart.org/en/johannes-vermeer/christ-in-the-house-of-martha-and-mary,Baroque,,Art::Baroque::Vermeer
CI+a{vf{f(,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,The Procuress,"<img src=""the-procuress-1656.jpg!Large.jpg"">",1656,"<a href=""https://www.wikiart.org/en/johannes-vermeer/the-procuress-1656"">https://www.wikiart.org/en/johannes-vermeer/the-procuress-1656</a>",Baroque,,Art::Baroque::Vermeer
r$R2q}OsNe,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,Girl Reading a Letter at an Open Window,"<img src=""jan-vermeer-van-delft-003.jpg!Large.jpg"">",1657,https://www.wikiart.org/en/johannes-vermeer/girl-reading-a-letter-at-an-open-window-1657,Baroque,,Art::Baroque::Vermeer
fF*WC0*Wn<,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,A maid asleep,"<img src=""a-maid-asleep.jpg!Large.jpg"">",c.1656 - c.1657,https://www.wikiart.org/en/johannes-vermeer/a-maid-asleep,Baroque,,Art::Baroque::Vermeer
m$x6S;>@bZ,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,Officer and Laughing Girl,"<img src=""officer-and-laughing-girl.jpg!Large.jpg"">",c.1657,"<a href=""https://www.wikiart.org/en/johannes-vermeer/officer-and-laughing-girl"">https://www.wikiart.org/en/johannes-vermeer/officer-and-laughing-girl</a>",Baroque,,Art::Baroque::Vermeer
Bt_c`WB?<],Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,A Lady and Two Gentlemen,"<img src=""a-lady-and-two-gentlemen.jpg!Large.jpg"">",c.1659,"<a href=""https://www.wikiart.org/en/johannes-vermeer/a-lady-and-two-gentlemen"">https://www.wikiart.org/en/johannes-vermeer/a-lady-and-two-gentlemen</a>",Baroque,,Art::Baroque::Vermeer
wa[aFeb@yr,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,The Little Street,"<img src=""the-little-street.jpg!Large.jpg"">",c.1658 - c.1660,"<a href=""https://www.wikiart.org/en/johannes-vermeer/the-little-street"">https://www.wikiart.org/en/johannes-vermeer/the-little-street</a>",Baroque,,Art::Baroque::Vermeer
I%EdU@x+UE,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,The glass of wine,"<img src=""jan-vermeer-van-delft-the-glass-of-wine-google-art-project.jpg!Large.jpg"">",c.1658 - c.1660,"<a href=""https://www.wikiart.org/en/johannes-vermeer/the-glass-of-wine"">https://www.wikiart.org/en/johannes-vermeer/the-glass-of-wine</a>",Baroque,,Art::Baroque::Vermeer
uFh@xto;Cg,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,The Milkmaid,"<img src=""the-milkmaid.jpg!Large.jpg"">",c.1660,https://www.wikiart.org/en/johannes-vermeer/the-milkmaid,Baroque,,Art::Baroque::Vermeer
wjm<dO%lt),Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,Girl interrupted at her music,"<img src=""girl-interrupted-at-her-music.jpg!Large.jpg"">",c.1658 - c.1661,"<a href=""https://www.wikiart.org/en/johannes-vermeer/girl-interrupted-at-her-music"">https://www.wikiart.org/en/johannes-vermeer/girl-interrupted-at-her-music</a>",Baroque,,Art::Baroque::Vermeer
qXD*op;>jm,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,View of Delft,"<img src=""view-on-delft.jpg!Large.jpg"">",c.1660 - c.1661,"<a href=""https://www.wikiart.org/en/johannes-vermeer/view-on-delft"">https://www.wikiart.org/en/johannes-vermeer/view-on-delft</a>",Baroque,,Art::Baroque::Vermeer
HfH;{1RbUK,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,Young Woman with a Pearl Necklace,"<img src=""young-woman-with-a-pearl-necklace.jpg!Large.jpg"">",c.1662,"<a href=""https://www.wikiart.org/en/johannes-vermeer/young-woman-with-a-pearl-necklace"">https://www.wikiart.org/en/johannes-vermeer/young-woman-with-a-pearl-necklace</a>",Baroque,,Art::Baroque::Vermeer
jk21^[ztJ?,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,Woman reading a letter,"<img src=""woman-reading-a-letter-woman-in-blue-reading-a-letter.jpg!Large.jpg"">",c.1662 - c.1663,"<a href=""https://www.wikiart.org/en/johannes-vermeer/woman-reading-a-letter-woman-in-blue-reading-a-letter"">https://www.wikiart.org/en/johannes-vermeer/woman-reading-a-letter-woman-in-blue-reading-a-letter</a>",Baroque,,Art::Baroque::Vermeer
o8.Dn4xGHz,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,The Concert,"<img src=""the-concert.jpg"">",c.1664,"<a href=""https://www.wikiart.org/en/johannes-vermeer/the-concert"">https://www.wikiart.org/en/johannes-vermeer/the-concert</a>",Baroque,,Art::Baroque::Vermeer
E=_/hAjC{|,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,Woman with a lute,"<img src=""woman-with-a-lute.jpg!Large.jpg"">",c.1662 - c.1664,"<a href=""https://www.wikiart.org/en/johannes-vermeer/woman-with-a-lute"">https://www.wikiart.org/en/johannes-vermeer/woman-with-a-lute</a>",Baroque,,Art::Baroque::Vermeer
"xmGO,`g;CH",Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,A Lady at the Virginals with a Gentleman,"<img src=""a-lady-at-the-virginals-with-a-gentleman.jpg!Large.jpg"">",1662 - 1665,"<a href=""https://www.wikiart.org/en/johannes-vermeer/a-lady-at-the-virginals-with-a-gentleman-1665"">https://www.wikiart.org/en/johannes-vermeer/a-lady-at-the-virginals-with-a-gentleman-1665</a>",Baroque,,Art::Baroque::Vermeer
"CnJT[g{+U,",Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,The Girl with a Pearl Earring,"<img src=""the-girl-with-a-pearl-earring.jpg!Large.jpg"">",c.1665,"<a href=""https://www.wikiart.org/en/johannes-vermeer/the-girl-with-a-pearl-earring"">https://www.wikiart.org/en/johannes-vermeer/the-girl-with-a-pearl-earring</a>",Baroque,,Art::Baroque::Vermeer
Qa>U{/TK^D,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,this is a test field,,,,Baroque,,Art::Baroque::Vermeer
"p;1c,`pkm,",Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,asdf,,,,Baroque,,Art::Baroque::Vermeer
ctk&q(o$q4,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,sdfg-wasedited,,,,Baroque,,Art::Baroque::Vermeer
Fg&2f;k#rg,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,sdfg2,,,,Baroque,,Art::Baroque::Vermeer
g[6oof^5]a,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,,,,,Baroque,,Art::Baroque::Vermeer
Be9&$6c}`1,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,,,,,Baroque,,Art::Baroque::Vermeer
l_^?[+7Tou,Johannes Vermeer,"<img src=""johannes-vermeer.jpg!Portrait.jpg"">",1632 - 1675,"Delft, Netherlands",https://www.wikiart.org/en/johannes-vermeer,,,,,Baroque,,Art::Baroque::Vermeer
